Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Dummy Classifier,0.5383,0.5383,1.0,0.6999,0.5
Baseline Logistic Regression,0.5376,0.5383,0.9915,0.6977,0.511
Scaled Logistic Regression,0.5415,0.5418,0.9629,0.6934,0.5088
Random Forest,0.4738,0.5635,0.1014,0.1719,0.5016
Custom Weighted Ensemble,0.5292,0.549,0.7042,0.617,0.5175
XGBoost,0.5408,0.5492,0.8214,0.6583,0.5188
Tuned XGBoost,0.5254,0.5456,0.71,0.617,0.519
XGBoost + RSI/MACD,0.5189,0.5447,0.6538,0.5943,0.516
LSTM,0.5354,0.5368,0.9913,0.6964,0.5061
Tuned LSTM,0.5012,0.5272,0.7045,0.6031,0.4919
Early Stopping LSTM,0.5271,0.5405,0.8064,0.6472,0.4952
